公開情報区分コード,公開情報区分,雇用形態区分コード,雇用形態区分,給与区分コード,給与区分,職種コード,職種名（表示名）,特徴コード,特徴名（表示名）,都道府県コード,都道府県名,市区町村コード対応都道府県コード,市区町村コード,市区町村名,最寄駅コード,駅名,自分力パラメータコード,自分力パラメータ名（表示名）,自分力パラメータ値,自分力パラメータ値名（表示名）,タグコード,タグ名（表示名）,固定残業代有無コード,固定残業代有無区分,勤務形態コード,勤務形態区分,社会保険整備状況コード,社会保険整備状況区分,試用期間有無コード,試用期間有無区分
1,作成中,1,正社員,1,時給,110,営業・企画営業（個人向け）,1,未経験者活躍,1,北海道,1,101,札幌市中央区,1,愛冠,101,コミュニケーション力,1,20%,1,ADAS,1,あり,1,専門業務型裁量労働制,1,健康保険,1,あり
2,未公開,2,契約社員,2,日給,120,営業・企画営業（法人向け）,2,第2新卒活躍,2,青森県,1,102,札幌市北区,2,愛山,102,協調性,2,40%,2,AI,2,なし,2,事業場外みなし労働時間制,2,厚生年金,2,なし
3,公開予約,3,アルバイト・パート,3,月給,130,代理店営業,3,育児・介護休暇あり,3,岩手県,1,103,札幌市東区,3,あいの里教育大,103,向上心,3,60%,3,Android開発,,,3,固定時間制,3,雇用保険,,
6,公開中,4,派遣社員,4,年俸,140,ルートセールス・ラウンダー,4,女性が活躍,4,宮城県,1,104,札幌市白石区,4,あいの里公園,104,忍耐力,4,80%,4,API,,,4,シフト制,4,労災保険,,
7,公開失敗,5,紹介予定派遣,5,年収,150,メディカル営業（MR・MS）,5,シフト勤務,5,秋田県,1,105,札幌市豊平区,5,相内,105,柔軟性,5,100%,5,Arduino,,,5,企画業務型裁量労働制,,,,
,,7,職業紹介,6,完全歩合制,160,セールスエンジニア・技術営業・システム営業,6,服装自由,6,山形県,1,106,札幌市南区,6,愛別,106,積極性,,,6,AWS,,,6,変形労働時間制,,,,
,,8,インターンシップ,99,その他,170,マネージャー・管理職,7,転勤なし,7,福島県,1,107,札幌市西区,7,青葉,107,理解力,,,7,CI,,,7,高度プロフェッショナル制度,,,,
,,9,業務委託,,,180,キャリアカウンセラー・人材コーディネーター,8,残業なし,8,茨城県,1,108,札幌市厚別区,8,赤井川,108,判断力,,,8,CI/CD,,,8,フレックスタイム制度,,,,
,,99,その他,,,199,その他（営業関連）,9,平均年齢20代,9,栃木県,1,109,札幌市手稲区,9,赤平,109,マナー（常識）,,,9,DevOps経験,,,,,,,,
,,,,,,190,テレマーケティング・コールセンター・SV,10,上場企業,10,群馬県,1,110,札幌市清田区,10,旭川,110,責任感,,,10,DWH,,,,,,,,
,,,,,,210,営業・事業・経営企画,11,ベンチャー,11,埼玉県,1,202,函館市,11,旭川四条,202,実行力,,,11,Eコマース,,,,,,,,
,,,,,,220,財務・会計・経理,12,フレックスタイム制あり,12,千葉県,1,203,小樽市,13,麻生,203,企画力,,,12,ITサポート,,,,,,,,
,,,,,,230,人事・総務・労務・法務,13,寮・社宅あり,13,東京都,1,204,旭川市,14,朝里,204,発想力,,,13,IT経験,,,,,,,,
,,,,,,240,一般事務・営業事務・秘書・受付,14,長期休暇あり,14,神奈川県,1,205,室蘭市,16,芦別,205,改善力,,,14,IVR,,,,,,,,
,,,,,,242,商品管理・在庫管理,15,フリーター活躍,15,新潟県,1,206,釧路市,17,足寄,206,応用力,,,15,LAMP環境経験,,,,,,,,
,,,,,,243,一般事務・営業事務,16,マイカー通勤OK,16,富山県,1,207,帯広市,18,厚岸,207,営業力,,,16,PaaS,,,,,,,,
,,,,,,244,秘書・受付,17,研修・教育制度充実,17,石川県,1,208,北見市,19,厚床,208,交渉力,,,17,SaaS,,,,,,,,
,,,,,,245,データ入力・オペレーター,18,語学を活かせる,18,福井県,1,209,夕張市,20,厚賀,209,提案力,,,18,UI,,,,,,,,
,,,,,,250,医療・貿易・国際関連事務,19,中途入社50%以上,19,山梨県,1,210,岩見沢市,21,厚内,210,伝達力,,,19,UX,,,,,,,,
,,,,,,260,医療事務,20,海外勤務・海外出張あり,20,長野県,1,211,網走市,22,厚別,211,マネジメント力,,,20,アセンブラ,,,,,,,,
,,,,,,270,購買・資材調達,21,在宅ワーク,21,岐阜県,1,212,留萌市,23,姉別,212,推進力,,,21,アプリケーション開発,,,,,,,,
,,,,,,280,マーケティング・広告・宣伝,22,オフィスカジュアル,22,静岡県,1,213,苫小牧市,24,網走,213,決断力,,,22,インシデント管理,,,,,,,,
,,,,,,290,カスタマー・テクニカルサポート,23,職場見学可,23,愛知県,1,214,稚内市,25,安平,214,創造力,,,23,ウェブサービス,,,,,,,,
,,,,,,291,テレフォンオペレーター（テレオペ）,25,2018年新卒採用,24,三重県,1,215,美唄市,26,阿分,215,問題解決力,,,24,ウェブ制作,,,,,,,,
,,,,,,292,コールセンター管理・運営,26,土日祝日休み,25,滋賀県,1,216,芦別市,27,安足間,216,洞察力,,,25,オブジェクト指向プログラミング経験,,,,,,,,
,,,,,,293,サポートデスク,27,短時間ワーク,26,京都府,1,217,江別市,28,伊香牛,217,分析力,,,26,コンピュータサイエンス知識,,,,,,,,
,,,,,,294,コミュニケーター,28,新卒採用,27,大阪府,1,218,赤平市,29,生田原,218,状況判断能力,,,27,サーバー管理,,,,,,,,
,,,,,,295,管理職（営業・企画）,29,障がい者採用,28,兵庫県,1,219,紋別市,30,幾寅,,,,,28,サイバーセキュリティ,,,,,,,,
,,,,,,299,その他（企画・管理・事務）,30,リモート面接OK,29,奈良県,1,220,士別市,31,生野(北海道),,,,,29,システムエンジニア経験,,,,,,,,
,,,,,,310,公認会計士・税理士,31,面接時マスク着用,30,和歌山県,1,221,名寄市,32,池田(北海道),,,,,30,システムセキュリティ,,,,,,,,
,,,,,,320,弁護士・弁理士,32,社員登用あり,31,鳥取県,1,222,三笠市,33,池田園,,,,,31,システム分析,,,,,,,,
,,,,,,330,司法書士・行政書士,33,週1日からOK,32,島根県,1,223,根室市,34,石狩金沢,,,,,32,システム構築,,,,,,,,
,,,,,,340,技術コンサルタント,34,週2・3日からOK,33,岡山県,1,224,千歳市,35,石狩月形,,,,,33,システム監査,,,,,,,,
,,,,,,350,ファイナンシャルプランナー,35,シフト自由,34,広島県,1,225,滝川市,36,当別,,,,,34,システム移行,,,,,,,,
,,,,,,360,ファンドマネージャー,36,高収入,35,山口県,1,226,砂川市,37,石狩沼田,,,,,35,システム設計,,,,,,,,
,,,,,,370,プロパティーマネージャー,37,即日勤務OK,36,徳島県,1,227,歌志内市,38,太美,,,,,36,システム開発,,,,,,,,
,,,,,,380,アセットマネージャー,38,急募,37,香川県,1,228,深川市,39,石倉,,,,,37,スクリプト,,,,,,,,
,,,,,,390,用地仕入・不動産開発,39,駅近5分以内,38,愛媛県,1,229,富良野市,40,石谷,,,,,38,ソフトウェアテスト,,,,,,,,
,,,,,,399,その他（金融・不動産・コンサルタント）,40,交通費支給,39,高知県,1,230,登別市,41,泉沢,,,,,39,ソフトウェア設計,,,,,,,,
,,,,,,410,店長・店長候補・管理職,41,資格取得支援あり,40,福岡県,1,231,恵庭市,42,磯分内,,,,,40,ソフトウェア開発,,,,,,,,
,,,,,,420,販売・売り場担当,42,ストックオプションあり,41,佐賀県,1,233,伊達市,43,糸井,,,,,41,データセンター経験,,,,,,,,
,,,,,,421,試飲・試食・デモンストレーター,43,時差出勤,42,長崎県,1,234,北広島市,44,糸魚沢,,,,,42,データベース構築,,,,,,,,
,,,,,,430,旅行関連,44,男性が活躍,43,熊本県,1,235,石狩市,45,愛し野,,,,,43,データベース管理,,,,,,,,
,,,,,,431,ショールーム受付,45,残業少なめ,44,大分県,1,236,北斗市,46,稲士別,,,,,44,データベース経験,,,,,,,,
,,,,,,432,旅行コーディネーター・添乗,46,残業多め,45,宮崎県,1,303,石狩郡当別町,47,稲積公園,,,,,45,データベース設計,,,,,,,,
,,,,,,433,商業施設受付（インフォメーション）,47,20代活躍中,46,鹿児島県,1,304,石狩郡新篠津村,48,稲穂,,,,,46,データ構造,,,,,,,,
,,,,,,440,ウェディング・ブライダル関連,48,30代活躍中,47,沖縄県,1,331,松前郡松前町,49,伊納,,,,,47,ディープラーニング,,,,,,,,
,,,,,,441,葬祭セレモニー関連,49,ミドル活躍中,,,1,332,松前郡福島町,50,岩見沢,,,,,48,テクニカルサポート,,,,,,,,
,,,,,,442,ブライダルコーディネーター・ウェディングプランナー,50,シニア活躍中,,,1,333,上磯郡知内町,51,植苗,,,,,49,テストケース作成,,,,,,,,
,,,,,,443,葬祭ディレクター・プランナー,51,主婦・主夫活躍中,,,1,334,上磯郡木古内町,52,有珠,,,,,50,デバッグ経験,,,,,,,,
,,,,,,450,ホテル・宿泊関連,52,送迎あり,,,1,337,亀田郡七飯町,53,歌内,,,,,51,バージョンアップ,,,,,,,,
,,,,,,451,ホテル受付・フロント,53,資格・スキルを活かせる,,,1,343,茅部郡鹿部町,54,鵜苫,,,,,52,ビッグデータ,,,,,,,,
,,,,,,452,送迎ドライバー,54,制服あり,,,1,345,茅部郡森町,55,浦臼,,,,,53,ファームウェア,,,,,,,,
,,,,,,453,ホール・配膳,55,扶養内OK,,,1,346,二海郡八雲町,56,浦河,,,,,54,フロントエンド開発,,,,,,,,
,,,,,,454,ホテル清掃・施設清掃,56,賞与あり,,,1,347,山越郡長万部町,57,浦幌,,,,,55,ヘルプデスク,,,,,,,,
,,,,,,460,ホール・フロア,57,給与前払い制度あり,,,1,361,檜山郡江差町,58,江差,,,,,56,ミドルウェア,,,,,,,,
,,,,,,470,美容・エステ,58,副業・ＷワークOK,,,1,362,檜山郡上ノ国町,59,恵庭,,,,,57,モバイルアプリ,,,,,,,,
,,,,,,471,コスメコンシェルジュ,59,早朝勤務,,,1,363,檜山郡厚沢部町,60,恵比島,,,,,58,ユーザビリティ,,,,,,,,
,,,,,,472,エステティシャン,60,朝ゆっくり,,,1,364,爾志郡乙部町,61,絵笛,,,,,59,ワイヤーフレーム,,,,,,,,
,,,,,,473,美容師・理容師,61,夕方開始,,,1,367,奥尻郡奥尻町,62,江部乙,,,,,60,仮想化,,,,,,,,
,,,,,,474,アロマセラピス,62,深夜勤務,,,1,370,瀬棚郡今金町,63,江別,,,,,61,信号処理,,,,,,,,
,,,,,,475,ネイリスト,63,長期,,,1,371,久遠郡せたな町,64,遠軽,,,,,62,単体テスト,,,,,,,,
,,,,,,476,トリマー,64,短期,,,1,391,島牧郡島牧村,65,追分(北海道),,,,,63,情報セキュリティ,,,,,,,,
,,,,,,480,調理・調理補助,65,単発,,,1,392,寿都郡寿都町,66,大麻,,,,,64,情報処理,,,,,,,,
,,,,,,481,パティシエ・パティシエール,66,期間限定,,,1,393,寿都郡黒松内町,67,大狩部,,,,,65,機械学習,,,,,,,,
,,,,,,490,店舗開発・FC,67,髪型・髪色自由,,,1,394,磯谷郡蘭越町,68,大岸,,,,,66,組み込みソフトウェア,,,,,,,,
,,,,,,491,アミューズメント関連,68,髭OK,,,1,395,虻田郡ニセコ町,69,大通,,,,,67,自然言語処理,,,,,,,,
,,,,,,499,その他（販売・飲食・サービス）,69,ネイル・ピアスOK,,,1,396,虻田郡真狩村,70,大中山,,,,,68,認証,,,,,,,,
,,,,,,501,クリエイティブディレクター,70,週払い・日払いあり,,,1,397,虻田郡留寿都村,71,大沼,,,,,69,AUTOSAR,,,,,,,,
,,,,,,502,アートディレクター,71,外国人活躍中,,,1,398,虻田郡喜茂別町,72,大沼公園,,,,,70,GVP,,,,,,,,
,,,,,,510,WEBデザイナー・プロデューサー・プランナー,72,無期雇用派遣,,,1,399,虻田郡京極町,73,大町(北海道),,,,,71,ISO14001,,,,,,,,
,,,,,,511,WEB制作,,,,,1,400,虻田郡倶知安町,75,大谷地,,,,,72,REACH,,,,,,,,
,,,,,,520,プロデューサー・ディレクター・プランナー,,,,,1,401,岩内郡共和町,76,大和田(北海道),,,,,73,AIX,,,,,,,,
,,,,,,530,編集・ライター・記者,,,,,1,402,岩内郡岩内町,78,荻伏,,,,,74,Android,,,,,,,,
,,,,,,531,コピーライター,,,,,1,403,古宇郡泊村,80,置戸,,,,,75,CentOS,,,,,,,,
,,,,,,532,校正,,,,,1,404,古宇郡神恵内村,81,筬島,,,,,76,Fedora,,,,,,,,
,,,,,,540,デザイナー・イラストレーター・フォトグラファー,,,,,1,405,積丹郡積丹町,82,長都,,,,,77,iOS,,,,,,,,
,,,,,,541,グラフィックデザイナー・CGデザイナー,,,,,1,406,古平郡古平町,83,於札内,,,,,78,Linux,,,,,,,,
,,,,,,550,出版・印刷関連,,,,,1,407,余市郡仁木町,84,納内,,,,,79,MacOS,,,,,,,,
,,,,,,551,DTPオペレーター,,,,,1,408,余市郡余市町,85,新函館北斗,,,,,80,Solaris,,,,,,,,
,,,,,,560,テレビ・芸能・イベント関連,,,,,1,409,余市郡赤井川村,86,渡島砂原,,,,,81,Ubuntu,,,,,,,,
,,,,,,561,脚本家・放送作家,,,,,1,423,空知郡南幌町,87,渡島鶴岡,,,,,82,UNIX,,,,,,,,
,,,,,,562,プロデューサー・ディレクター・演出,,,,,1,424,空知郡奈井江町,88,渡島当別,,,,,83,VxWorks,,,,,,,,
,,,,,,563,アシスタントプロデューサー・アシスタントディレクター,,,,,1,425,空知郡上砂川町,89,渡島沼尻,,,,,84,Windows,,,,,,,,
,,,,,,564,アナウンサー・タレント,,,,,1,427,夕張郡由仁町,90,長万部,,,,,85,オペレーティングシステム,,,,,,,,
,,,,,,570,映像・CG・音響関連,,,,,1,428,夕張郡長沼町,91,尾白内,,,,,86,ダンス,,,,,,,,
,,,,,,580,ゲーム・アミューズメント・マルチメディア関連,,,,,1,429,夕張郡栗山町,92,晩生内,,,,,87,3dsMax,,,,,,,,
,,,,,,590,ファッション・インテリア・工業製品関連,,,,,1,430,樺戸郡月形町,93,大楽毛,,,,,88,AdobeAcrobat,,,,,,,,
,,,,,,591,ファッションデザイナー,,,,,1,431,樺戸郡浦臼町,94,小樽,,,,,89,AdobeAfterEffects,,,,,,,,
,,,,,,592,服飾雑貨デザイナー,,,,,1,432,樺戸郡新十津川町,95,小樽築港,,,,,90,AdobeAnalytics,,,,,,,,
,,,,,,593,スタイリスト・ヘアメイク,,,,,1,433,雨竜郡妹背牛町,96,落合(北海道),,,,,91,AdobeDreamweaver,,,,,,,,
,,,,,,594,工業デザイン,,,,,1,434,雨竜郡秩父別町,97,落石,,,,,92,AdobeFlash,,,,,,,,
,,,,,,595,インテリアデザイナー,,,,,1,436,雨竜郡雨竜町,98,音威子府,,,,,93,AdobeIllustrator,,,,,,,,
,,,,,,596,インテリアコーディネーター,,,,,1,437,雨竜郡北竜町,99,落部,,,,,94,AdobeInDesign,,,,,,,,
,,,,,,599,その他（クリエイティブ・メディア）,,,,,1,438,雨竜郡沼田町,100,雄信内,,,,,95,AdobePhotoshop,,,,,,,,
,,,,,,610,設計（建築・設備）,,,,,1,452,上川郡鷹栖町,101,帯広,,,,,96,AdobePremiere,,,,,,,,
,,,,,,611,建築設計,,,,,1,453,上川郡東神楽町,102,尾幌,,,,,97,AdobeXD,,,,,,,,
,,,,,,612,土木設計,,,,,1,454,上川郡当麻町,103,大誉地,,,,,98,AmazonCloudFront,,,,,,,,
,,,,,,613,プラント設計,,,,,1,455,上川郡比布町,104,恩根内,,,,,99,AmazonCloudWatch,,,,,,,,
,,,,,,614,電気設備設計,,,,,1,456,上川郡愛別町,105,音別,,,,,100,AmazonEC2,,,,,,,,
,,,,,,615,空調設備設計,,,,,1,457,上川郡上川町,107,掛澗,,,,,101,AmazonECS,,,,,,,,
,,,,,,620,設計（土木・プラント）,,,,,1,458,上川郡東川町,108,神楽岡,,,,,102,AmazonEKS,,,,,,,,
,,,,,,621,CADオペレーター（建築・土木・設備）,,,,,1,459,上川郡美瑛町,109,桂岡,,,,,103,AmazonKinesis,,,,,,,,
,,,,,,630,施工管理（建築・設備）,,,,,1,460,空知郡上富良野町,110,桂川(北海道),,,,,104,AmazonSageMaker,,,,,,,,
,,,,,,640,施工管理（土木・プラント）,,,,,1,461,空知郡中富良野町,111,桂台,,,,,105,AmazonSES,,,,,,,,
,,,,,,641,設備保全・メンテナンス,,,,,1,462,空知郡南富良野町,112,金山(北海道),,,,,106,AmazonSimpleQueueService,,,,,,,,
,,,,,,642,設備運転、設備管理者,,,,,1,463,勇払郡占冠村,113,金華,,,,,107,Ansible,,,,,,,,
,,,,,,650,測量・積算,,,,,1,464,上川郡和寒町,114,兜沼,,,,,108,Apache,,,,,,,,
,,,,,,660,設備工事・プロデューサー（配管・空調・空間）,,,,,1,465,上川郡剣淵町,115,釜谷,,,,,109,ApacheHive,,,,,,,,
,,,,,,670,大工・鳶,,,,,1,468,上川郡下川町,116,上芦別,,,,,110,ArcGIS,,,,,,,,
,,,,,,680,技術開発・構造開発,,,,,1,469,中川郡美深町,117,上厚内,,,,,111,ArchiCAD,,,,,,,,
,,,,,,690,警備・道路整備,,,,,1,470,中川郡音威子府村,118,上磯,,,,,112,AutoCAD,,,,,,,,
,,,,,,691,清掃,,,,,1,471,中川郡中川町,120,上尾幌,,,,,113,AutoCADLT,,,,,,,,
,,,,,,693,マンション・ビル管理者,,,,,1,472,雨竜郡幌加内町,121,上川,,,,,114,Autodesk,,,,,,,,
,,,,,,694,交通誘導・駐車場誘導警備,,,,,1,481,増毛郡増毛町,122,上白滝,,,,,115,AutodeskInventor,,,,,,,,
,,,,,,695,施設常駐警備・巡回警備・保安警備,,,,,1,482,留萌郡小平町,123,上常呂,,,,,116,AWSLambda,,,,,,,,
,,,,,,696,警備員,,,,,1,483,苫前郡苫前町,124,上利別,,,,,117,Azure,,,,,,,,
,,,,,,699,その他（建築・土木・警備・清掃）,,,,,1,484,苫前郡羽幌町,125,上ノ国,,,,,118,Bamboo,,,,,,,,
,,,,,,701,システムアナリスト,,,,,1,485,苫前郡初山別村,126,上野幌,,,,,119,BigQuery,,,,,,,,
,,,,,,702,ITアーキテクト,,,,,1,486,天塩郡遠別町,127,上富良野,,,,,120,Blender,,,,,,,,
,,,,,,703,システムコンサルタント,,,,,1,487,天塩郡天塩町,128,上幌延,,,,,121,CAD,,,,,,,,
,,,,,,710,SE・プログラマー（オープン・WEB・モバイル),,,,,1,511,宗谷郡猿払村,129,上幌向,,,,,122,CATIA,,,,,,,,
,,,,,,720,SE・プログラマー（汎用),,,,,1,512,枝幸郡浜頓別町,130,茅沼,,,,,123,Cinema4D,,,,,,,,
,,,,,,730,SE・プログラマー（制御・組み込み),,,,,1,513,枝幸郡中頓別町,131,川上,,,,,124,Civil3D,,,,,,,,
,,,,,,740,ネットワークエンジニア（サーバー設計・構築）,,,,,1,514,枝幸郡枝幸町,132,川端,,,,,125,ClipStudioPaint,,,,,,,,
,,,,,,750,ネットワークエンジニア（サーバー運用・保守）,,,,,1,516,天塩郡豊富町,133,川湯温泉,,,,,126,Cognos,,,,,,,,
,,,,,,760,ネットワークエンジニア（通信インフラ設計・構築）,,,,,1,517,礼文郡礼文町,134,環状通東,,,,,127,Confluence,,,,,,,,
,,,,,,770,データベース設計・運用,,,,,1,518,利尻郡利尻町,135,学園前(札幌),,,,,128,Creo,,,,,,,,
,,,,,,780,プロジェクトマネージャー・リーダー,,,,,1,519,利尻郡利尻富士町,136,学田,,,,,129,CRMソフトウェア,,,,,,,,
,,,,,,781,システムディレクター・テクニカルディレクター,,,,,1,520,天塩郡幌延町,137,桔梗,,,,,130,CyberArk,,,,,,,,
,,,,,,790,社内SE・サポート・ヘルプデスク,,,,,1,543,網走郡美幌町,138,菊水,,,,,131,DataStage,,,,,,,,
,,,,,,791,設備保全（IT・通信・ネットワーク）,,,,,1,544,網走郡津別町,139,木古内,,,,,132,Docker,,,,,,,,
,,,,,,792,ネットワーク運用・監視,,,,,1,545,斜里郡斜里町,140,北一已,,,,,133,DTP,,,,,,,,
,,,,,,799,その他（ソフトウェア・ネットワーク）,,,,,1,546,斜里郡清里町,141,北剣淵,,,,,134,Eclipse,,,,,,,,
,,,,,,810,半導体設計,,,,,1,547,斜里郡小清水町,142,北３４条,,,,,135,ElasticLoadBalancing,,,,,,,,
,,,,,,820,回路設計,,,,,1,549,常呂郡訓子府町,143,北１３条東,,,,,136,Elasticsearch,,,,,,,,
,,,,,,830,組み込み・制御設計（電子機器・精密機器）,,,,,1,550,常呂郡置戸町,144,北１２条,,,,,137,ERPシステム,,,,,,,,
,,,,,,840,組み込み・制御設計（自動車・各種機械）,,,,,1,552,常呂郡佐呂間町,145,北１８条,,,,,138,ESXi,,,,,,,,
,,,,,,850,機械・機構設計（電子機器・精密機器）,,,,,1,555,紋別郡遠軽町,146,北秩父別,,,,,139,Facebook広告,,,,,,,,
,,,,,,860,機械・機構設計（自動車・各種機械）,,,,,1,559,紋別郡湧別町,147,北豊津,,,,,140,Figma,,,,,,,,
,,,,,,861,CAD・CAM設計（電気・電子・機械）,,,,,1,560,紋別郡滝上町,148,北永山,,,,,141,FinalCutPro,,,,,,,,
,,,,,,862,CADオペレーター（電気・電子・機械）,,,,,1,561,紋別郡興部町,149,北２４条,,,,,142,Fireworks,,,,,,,,
,,,,,,870,FAE,,,,,1,562,紋別郡西興部村,150,北浜(北海道),,,,,143,Git,,,,,,,,
,,,,,,880,品質・生産管理（電気・電子・機械）,,,,,1,563,紋別郡雄武町,151,北日ノ出,,,,,144,GitHub,,,,,,,,
,,,,,,890,製造・整備士・技術士,,,,,1,564,網走郡大空町,152,北広島,,,,,145,GitLab,,,,,,,,
,,,,,,891,機械オペレーター(機械オペレーション),,,,,1,571,虻田郡豊浦町,153,北美瑛,,,,,146,GoogleAdWords,,,,,,,,
,,,,,,892,組立・加工,,,,,1,575,有珠郡壮瞥町,154,北比布,,,,,147,GoogleAnalytics,,,,,,,,
,,,,,,893,製造（電気・電子・機械）,,,,,1,578,白老郡白老町,155,北舟岡,,,,,148,GoogleAnalytics360,,,,,,,,
,,,,,,894,検査・検品,,,,,1,581,勇払郡厚真町,156,北見,,,,,149,GoogleCloudPlatform,,,,,,,,
,,,,,,899,その他（電気・電子・機械）,,,,,1,584,虻田郡洞爺湖町,157,北吉原,,,,,150,GoogleDocs,,,,,,,,
,,,,,,940,技術（化学・医療・食品）,,,,,1,585,勇払郡安平町,158,旧白滝,,,,,151,GoogleSuite,,,,,,,,
,,,,,,950,品質・生産管理（化学・医療・食品）,,,,,1,586,勇払郡むかわ町,159,清川口,,,,,152,Gradle,,,,,,,,
,,,,,,960,製造・技能工（化学・医療・食品）,,,,,1,601,沙流郡日高町,160,清里町,,,,,153,gRPC,,,,,,,,
,,,,,,961,食品製造,,,,,1,602,沙流郡平取町,161,清畠,,,,,154,Heroku,,,,,,,,
,,,,,,970,研究・開発（化学）,,,,,1,604,新冠郡新冠町,162,銀山,,,,,155,Hyperion,,,,,,,,
,,,,,,980,研究・開発（医療）,,,,,1,607,浦河郡浦河町,163,釧路,,,,,156,Informatica,,,,,,,,
,,,,,,990,研究・開発（食品）,,,,,1,608,様似郡様似町,164,釧路湿原,,,,,157,InVision,,,,,,,,
,,,,,,999,その他（化学・医療・食品）,,,,,1,609,幌泉郡えりも町,165,倶知安,,,,,158,JDEdwards,,,,,,,,
,,,,,,1070,航空・鉄道・船舶関連,,,,,1,610,日高郡新ひだか町,166,久根別,,,,,159,Jenkins,,,,,,,,
,,,,,,1080,公務員・団体職員,,,,,1,631,河東郡音更町,167,栗丘,,,,,160,Jira,,,,,,,,
,,,,,,1090,農林水産,,,,,1,632,河東郡士幌町,168,栗沢,,,,,161,JWCAD,,,,,,,,
,,,,,,1099,その他,,,,,1,633,河東郡上士幌町,169,栗山,,,,,162,Keynote,,,,,,,,
,,,,,,910,医師・看護師,,,,,1,634,河東郡鹿追町,170,黒岩,,,,,163,Maven,,,,,,,,
,,,,,,911,医師,,,,,1,635,上川郡新得町,171,黒松内,,,,,164,Maya,,,,,,,,
,,,,,,912,看護師,,,,,1,636,上川郡清水町,172,国縫,,,,,165,MicrosoftExcel,,,,,,,,
,,,,,,913,准看護師,,,,,1,637,河西郡芽室町,173,訓子府,,,,,166,MicrosoftExchange,,,,,,,,
,,,,,,914,保健師,,,,,1,638,河西郡中札内村,175,競馬場前(函館),,,,,167,MicrosoftOffice,,,,,,,,
,,,,,,915,歯科医師・歯科衛生士,,,,,1,639,河西郡更別村,176,剣淵,,,,,168,MicrosoftOutlook,,,,,,,,
,,,,,,916,歯科医師,,,,,1,641,広尾郡大樹町,177,原生花園,,,,,169,MicrosoftPowerBI,,,,,,,,
,,,,,,917,歯科衛生士,,,,,1,642,広尾郡広尾町,178,光珠内,,,,,170,MicrosoftPowerpoint,,,,,,,,
,,,,,,920,医療技師,,,,,1,643,中川郡幕別町,179,黄金(北海道),,,,,171,MicrosoftProject,,,,,,,,
,,,,,,930,薬剤師,,,,,1,644,中川郡池田町,180,小沢,,,,,172,MicrosoftVisio,,,,,,,,
,,,,,,1110,介護職・ヘルパー,,,,,1,645,中川郡豊頃町,181,虎杖浜,,,,,173,MicrosoftWord,,,,,,,,
,,,,,,1111,ケアマネジャー,,,,,1,646,中川郡本別町,182,琴似(ＪＲ),,,,,174,Moodle,,,,,,,,
,,,,,,1112,生活相談員,,,,,1,647,足寄郡足寄町,183,琴似(札幌市営),,,,,175,NetSuite,,,,,,,,
,,,,,,1113,看護職,,,,,1,648,足寄郡陸別町,184,小幌,,,,,176,NewRelic,,,,,,,,
,,,,,,1114,サービス提供責任者,,,,,1,649,十勝郡浦幌町,185,駒ケ岳,,,,,177,OpenCV,,,,,,,,
,,,,,,1115,介護事務,,,,,1,661,釧路郡釧路町,186,昆布,,,,,178,OpenStack,,,,,,,,
,,,,,,1116,介護福祉士,,,,,1,662,厚岸郡厚岸町,187,昆布盛,,,,,179,OracleEBS,,,,,,,,
,,,,,,1117,社会福祉士,,,,,1,663,厚岸郡浜中町,188,五十石,,,,,180,PaintToolSai,,,,,,,,
,,,,,,1118,作業療法士,,,,,1,664,川上郡標茶町,189,五稜郭,,,,,181,PCA会計,,,,,,,,
,,,,,,1119,理学療法士,,,,,1,665,川上郡弟子屈町,190,境野,,,,,182,Pegasystems,,,,,,,,
,,,,,,1120,管理栄養士,,,,,1,667,阿寒郡鶴居村,191,栄町(札幌),,,,,183,POS,,,,,,,,
,,,,,,1121,介護送迎ドライバー,,,,,1,668,白糠郡白糠町,192,崎守,,,,,184,ProTools,,,,,,,,
,,,,,,1122,看護助手,,,,,1,691,野付郡別海町,193,佐久,,,,,185,Puppet,,,,,,,,
,,,,,,1123,介護助手,,,,,1,692,標津郡中標津町,194,桜岡,,,,,186,QlikView,,,,,,,,
,,,,,,1124,臨床検査技師,,,,,1,693,標津郡標津町,195,笹森,,,,,187,Redmine,,,,,,,,
,,,,,,1125,臨床心理士・カウンセラー,,,,,1,694,目梨郡羅臼町,196,咲来,,,,,188,Redshift,,,,,,,,
,,,,,,1126,柔道整復師,,,,,2,201,青森市,197,札弦,,,,,189,Revit,,,,,,,,
,,,,,,1127,鍼灸マッサージ師(あんま、はり師、きゅう師),,,,,2,202,弘前市,198,札的,,,,,190,S3,,,,,,,,
,,,,,,1128,栄養士,,,,,2,203,八戸市,199,札比内,,,,,191,Salesforce,,,,,,,,
,,,,,,1199,その他（医療・介護・福祉）,,,,,2,204,黒石市,200,札幌(ＪＲ),,,,,192,SAP,,,,,,,,
,,,,,,1060,ドライバー・配達・配送,,,,,2,205,五所川原市,201,さっぽろ(札幌市営),,,,,193,SAPERP,,,,,,,,
,,,,,,1211,仕分け・梱包・ピッキング,,,,,2,206,十和田市,202,サッポロビール庭園,,,,,194,SAPS/4HANA,,,,,,,,
,,,,,,1212,フォークリフト,,,,,2,207,三沢市,203,札苅,,,,,195,SAS,,,,,,,,
,,,,,,1213,軽作業,,,,,2,208,むつ市,204,札内,,,,,196,SDLTradosStudio,,,,,,,,
